ID,Date,Time,First Name,Last Name,Credit Card Number,Currency,Category,Amount
5AE5BBE9-8CFC-EF25-A61E-1B6B1DD97BDA,02-10-2023,07:06:55,Finn,Holder,556325 454719 7567,GBP,Money Out,401.11
6741704D-5F77-D534-77A6-799E11B9B537,18-10-2023,04:13:11,Jakeem,Lynch,402636 461744 8289,GBP,Money Out,857.15
9720576D-799F-33FC-B156-B555C4916116,02-10-2023,10:49:31,Chadwick,Griffith,676773 43 2265 8656 672,GBP,Money In,890.56
1C9FD422-1CBB-E8BC-C89D-BBB720E9ACB8,15-10-2023,06:59:38,Tanek,Lawson,3672 844797 21760,GBP,Money In,831.26
CB363457-CA3A-9B01-DCE2-A73451EE2DE5,17-10-2023,06:08:13,Mason,Shaw,645 89265 23781 748,GBP,Money In,51.51
D27701EB-B509-94C8-DC32-565A4AA55524,11-10-2023,11:08:05,Uma,Estes,676744 5831643744,GBP,Money Out,606.06
0766B294-D053-ADBB-AE12-EE42B125898D,20-10-2023,02:03:39,Halee,Macias,2149 456272 62361,GBP,Money Out,246.46
640B13C6-A343-4E2B-8F6C-E3A62E68255C,09-10-2023,02:29:00,Armand,Dudley,3746 456857 57353,GBP,Money Out,760.21
3C17F470-18EF-90BD-9355-4C905EEE9FE4,28-10-2023,10:38:31,Akeem,Adkins,4916224383474,GBP,Money In,386.78
65FE2759-415E-D3E3-2D8D-3B9EA0EDEB6E,29-10-2023,10:30:29,Talon,Terrell,201493263981684,GBP,Money In,8.48
BBA5D29F-ED2D-A34D-31C5-BD26D22A7873,13-10-2023,09:47:30,Porter,Hall,402682 6455425421,GBP,Money In,253.99
FB2CFFFA-C726-5186-777D-5962DBE273E5,19-10-2023,01:04:03,Abdul,Stein,6462422758362432,GBP,Money Out,167.45
E6DBC762-E5AF-2DE4-7498-E67723650557,01-10-2023,05:54:28,Shaine,Dunlap,300432558437580,GBP,Money Out,653.06
7F33352D-58BC-54E1-7B48-A7D8B8318406,15-10-2023,08:14:18,Savannah,Davis,5224369855254858,GBP,Money Out,561.77
A832D522-9557-1D6E-1948-9C0B697AECA5,15-10-2023,03:40:20,Xanthus,Lyons,493646 666846 3593,GBP,Money In,13.62
D36ED15E-4C84-1F42-FC8E-3AAE62B863A8,11-10-2023,08:32:13,Hector,Lawrence,2149 634627 55431,GBP,Money In,774.62
81B4D05C-D9B9-8134-D54B-6D2E81D780A8,02-10-2023,07:35:58,Brianna,James,4917449724494755,GBP,Money In,400.11
0A75B95C-547E-E555-227D-75CA8ED76E19,29-10-2023,12:50:27,Ayanna,Ballard,503832823556,GBP,Money Out,627.16
367663CC-F1B7-A553-0226-2F77693BA8CA,24-10-2023,11:47:40,Elizabeth,David,5441 4955 3836 2227,GBP,Money Out,457.82
DD27BE9D-85BA-8578-C4E0-2A26CFEA4450,10-10-2023,09:56:13,Imogene,Nolan,3039 427521 42122,GBP,Money Out,195.66
718B9AC8-B533-69BB-6231-ACA5DB5C06E7,02-10-2023,10:46:10,Kiayada,Mitchell,3004 525825 12760,GBP,Money In,445.82
E246FE6A-B27E-874D-845D-6D11554E9712,11-10-2023,01:22:30,Nolan,Bender,4911 3674 4241 8144,GBP,Money In,997.63
D26E85D8-9AAF-1507-C0A1-56975D345C8C,10-10-2023,12:14:19,Dale,Stuart,4026457352822344,GBP,Money In,318.80
94DE4812-3F92-8A2B-C67C-B4F33FE18B3D,16-10-2023,12:14:42,Aristotle,Walls,6763513182941613,GBP,Money Out,315.63
C4FD27AC-E546-5E89-BD44-715C58EB7342,03-10-2023,06:24:17,Alea,Taylor,524 61756 54883 837,GBP,Money Out,666.05
031D69BA-8AAD-8C27-A64F-48ECDB438394,17-10-2023,07:51:01,Karina,Harper,3779 868353 73742,GBP,Money Out,199.72
1B739332-BC5F-417D-9836-88B565D83F3F,14-10-2023,12:12:12,Eleanor,Collins,630452922235758945,GBP,Money In,921.76
BCCBDD6B-5427-C51A-B9D6-76B2A5B9FD89,14-10-2023,09:26:08,Len,Soto,402 65762 74551 986,GBP,Money In,477.74
AF202773-E2ED-E3DA-C47A-A7B8702E7396,06-10-2023,01:56:34,Scarlett,Mcneil,676233 2395638143,GBP,Money In,850.09
0485C197-B996-9722-26B6-29FD6D52BD21,23-10-2023,07:25:03,Dana,Ortiz,518 77527 56874 293,GBP,Money Out,610.96
26592AC3-487B-B446-9574-0315BBC51963,23-10-2023,02:57:57,Sydnee,Rosa,3679 553323 65461,GBP,Money Out,697.73
383C62F8-D981-5C18-9B79-1EC42ACAFC5B,23-10-2023,09:06:24,Rebecca,Vincent,648655 9864423368,GBP,Money Out,979.02
CC726096-CBE1-4C1A-9CAF-8D923BEC266B,29-10-2023,04:57:28,Sawyer,Keith,545142 222442 8366,GBP,Money In,448.58
2DAC46AD-72F8-B61D-AE5B-5C2F6DE599B9,23-10-2023,11:43:14,Sonya,Lawrence,6767452874564472,GBP,Money In,873.93
DF9E5E5C-40C7-4EC6-DC58-6AB919A659CB,16-10-2023,07:30:01,Coby,Sanchez,649826 8646886696,GBP,Money In,123.00
C219B448-89A2-54A2-A329-DD8663FD2221,26-10-2023,02:22:43,Darrel,Serrano,4024007127794,GBP,Money Out,933.45
1B13F9E9-CDC8-5822-1B29-19C30378B0D7,12-10-2023,07:38:05,Florence,Cain,492 96989 38632 248,GBP,Money Out,925.85
237C2676-CA6D-7229-49EA-561E0C88EB36,29-10-2023,06:36:09,Tamekah,Adkins,2149 878694 49777,GBP,Money Out,87.20
54497721-5E49-CBDA-14ED-509CC73BB252,13-10-2023,04:41:59,Hunter,Burnett,3014 785487 77451,GBP,Money In,686.03
1E219C57-12D5-69B6-48CD-8A228D187F58,09-10-2023,05:32:16,Nell,Lancaster,6767485322574941993,GBP,Money In,433.91
77944BDC-6DF4-B9E5-6ED8-B45F76584A9D,14-10-2023,10:46:38,Risa,Hogan,3667 787547 86357,GBP,Money In,258.35
73642199-2B5A-51A9-1554-0591E221E5BF,11-10-2023,01:12:08,Gary,Goodwin,214958188612486,GBP,Money Out,324.19
3924DC7D-A784-9641-C09A-6342159F2709,11-10-2023,03:18:36,Xantha,Newman,3428 794864 79565,GBP,Money Out,923.07
DDEF80EF-A07D-5623-BAE0-E5A7191B5388,27-10-2023,11:37:14,Dexter,Quinn,4916438859517986,GBP,Money Out,753.48
F03CC734-E4EB-0F35-7059-6AB3918A58AC,15-10-2023,01:32:22,Marah,Rosales,630422 71 5355 2665 238,GBP,Money In,684.94
DB541736-97D0-D66A-C877-578268ED0E5A,30-10-2023,03:36:32,Ivana,Moon,344273343782791,GBP,Money In,909.86
C9405448-6266-5997-1788-1598CD265C94,03-10-2023,03:32:20,Gary,Wyatt,4024 007 17 5884,GBP,Money In,976.63
D30B5C83-A641-DCBE-9B46-CDB86D9C4318,22-10-2023,06:43:14,Gisela,Marshall,6334212832523828,GBP,Money Out,470.18
FA7151F5-9D64-D8A6-78BB-BB75268E5D8C,08-10-2023,02:07:28,Ian,Moses,676 23374 67322 682,GBP,Money Out,305.06
93DD5DB9-EDB8-0CA6-1D11-BF392412F4ED,14-10-2023,08:17:03,Carlos,Fischer,4508 7245 1453 7160,GBP,Money Out,353.75
8D6E71DC-55D4-E97B-13DF-9E69B748ED9B,18-10-2023,06:01:51,Aidan,Gray,366843617965463,GBP,Money In,363.30
A04615AD-77C6-5DE6-231D-DED3BB7EB151,24-10-2023,12:51:01,Samuel,Vance,6771 4364 7352 5632,GBP,Money In,320.67
E82C2945-55C7-BB46-7667-3EBA4EE4398E,12-10-2023,11:51:08,Cyrus,Schroeder,214934648323824,GBP,Money In,147.60
67C8922A-0886-D888-ED6F-76DD81300D57,04-10-2023,08:52:53,Aristotle,Levine,3636 344274 14716,GBP,Money Out,543.01
46217497-F74A-7B62-AD24-3DCBAA3D16C6,02-10-2023,01:55:57,Renee,Barrett,417500 451365 7471,GBP,Money Out,572.94
3A39C198-0D8A-A432-90C9-D7CD1239958B,02-10-2023,01:01:45,Nigel,Yang,670 67926 77563 625,GBP,Money Out,47.86
43DBB5D1-1175-48BA-3D97-6347E770F0E2,07-10-2023,07:30:32,Merritt,Owen,6334966324976512726,GBP,Money In,458.34
118EAA6D-A577-6B86-37F2-6EA814D94158,14-10-2023,08:58:45,Ivy,Garner,6334289942444467,GBP,Money In,725.85
74E27EDB-B0BC-1DD5-6118-E38E4A174A86,17-10-2023,04:30:52,Miriam,Curtis,304719922668825,GBP,Money In,103.38
73BAA7CC-8491-2376-825A-D862EDE115C2,20-10-2023,09:32:43,Mia,Martinez,5641823726753675,GBP,Money Out,609.19
3936D8B5-5EA8-1ECE-48C7-7FF438CFE4BE,16-10-2023,03:02:03,Lee,Charles,493676 45 2987 9595 754,GBP,Money Out,216.55
CBE93665-7641-A126-1E79-B0A8E45DD5CD,19-10-2023,01:10:59,Sarah,Pennington,3641 727755 59823,GBP,Money Out,655.90
4671D4D9-76EE-D276-11C9-42E89E6B4DF6,19-10-2023,07:34:55,Lawrence,Douglas,378358783877281,GBP,Money In,943.77
C3A94952-321D-6831-22D2-3B5B92741B9D,30-10-2023,01:58:52,Vladimir,Rollins,301761427273639,GBP,Money In,181.91
F44CEA64-15D5-ACDC-F0E2-A7EAD6CF344E,07-10-2023,05:39:25,Sandra,Howe,675952 726195 4285,GBP,Money In,644.90
92CEB47D-123B-A78C-8939-1976CD268C55,13-10-2023,09:21:17,Arthur,Silva,305625826537256,GBP,Money Out,238.32
A7CA35C8-ADFA-B6A1-7A1E-4587A7EAAE9A,02-10-2023,06:34:28,Gillian,Reese,453235 7882892675,GBP,Money Out,430.47
6A2EADE2-6BC1-8122-63C2-C7153851E533,25-10-2023,10:36:42,Laith,Meyer,6485 8278 8133 8724,GBP,Money Out,475.01
BE35C5A4-39D9-6B2E-0D1E-7788B95647AC,13-10-2023,01:56:26,Beau,Villarreal,647561 6758174268,GBP,Money In,755.77
4C7DEC75-2275-F2D9-2854-3DC7B521DFDA,22-10-2023,01:51:50,Emi,Leach,6466667113554349,GBP,Money In,808.79
125825FF-B852-9C2F-94A4-29E0065D04EB,25-10-2023,09:55:54,Quail,Peck,584213 4568822637,GBP,Money In,44.52
C66BED96-40FA-E6EA-B6B4-38816B9B3585,24-10-2023,01:16:22,Larissa,Leblanc,4936812958684887,GBP,Money Out,815.24
437DB02D-8C4C-A724-2775-953EE595E96D,23-10-2023,09:39:57,Denise,Wilson,6582462866823755,GBP,Money Out,383.99
147DCBBA-E333-5E65-D769-44D111D5310D,07-10-2023,03:20:09,Gareth,Nichols,305413834276468,GBP,Money Out,429.53
A67465D2-F7CD-6145-B89F-996D5F811C45,24-10-2023,10:20:52,Marcia,Lancaster,3765 326438 13486,GBP,Money In,498.23
BC3C7AE7-12A9-6792-35DD-85C27588ED93,11-10-2023,12:41:56,Wayne,Mueller,6771 2377 5587 1821,GBP,Money In,253.20
197C398B-42E7-AEC8-3DCC-13ABA9A1BE32,07-10-2023,05:49:42,Erasmus,Gamble,402626 6786767367,GBP,Money In,565.46
E4F480AE-F425-D6C9-6CEA-A8EBDEABC22E,02-10-2023,08:21:48,Travis,Cook,491 34533 38276 586,GBP,Money Out,191.88
278CC779-38E2-1365-CB67-7DDC22A9B028,27-10-2023,11:23:13,Kibo,Valdez,649434 537376 9156,GBP,Money Out,56.51
